study_accession,n_runs,n_runs_profiled,frac_non_metagenome_strict,frac_non_metagenome_loose,frac_named_human_host,frac_named_nonhuman_host,frac_named_microbe,frac_synthetic,frac_rna_strict,frac_low_complexity_profiled,frac_low_depth_profiled,frac_predicted_ecological_profiled,frac_low_ksf_high_depth_profiled,median_spf,median_known_species_fraction,median_root_coverage,study_title,triage_verdict,reason_code,auditor_attention,auditor_reason
PRJNA1065277,68,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08196721311475409,0.0,0.01639344262295082,0.06557377049180328,96.05,89.95,5360.22,Maternal factors are more capable of influencing the structure of infant gut microbes and bacteriophages than geography,include,,False,
PRJNA1067625,16,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,23.97,43.09,65.79,Gut microbiome of children in Haiti,include,,True,low_known_species_high_depth_majority
PRJNA1072081,961,883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01245753114382786,0.0,0.0,0.0056625141562853904,86.68,92.98,340.72,"Identifying Biomarkers and Trajectories of Typical Neurodevelopment in Children, the BRAINRISE Initiative",include,,False,
PRJNA1076911,50,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.995,90.03999999999999,1057.8449999999998,Infant and maternal gut microbiomes,include,,False,
PRJNA1081952,1736,858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.002331002331002331,85.755,90.045,528.745,BRISC microbiome sub study,include,,False,
PRJNA1082298,2,2,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,87.35499999999999,91.66499999999999,13259.580000000002,Analysis of fecal resistome in children,include,,True,microbe_named_majority
PRJNA1085219,149,136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007352941176470588,98.325,96.34,4351.67,Antibiotic resistance gene dynamics in the commensal infant gut microbiome over the first year of life,include,,False,
PRJNA1086532,404,392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1326530612244898,0.007653061224489796,0.007653061224489796,0.007653061224489796,88.77,95.795,1169.3899999999999,Intestinal microbiomes of premature neonates with bacteremia,include,,False,
PRJNA1086674,135,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1917808219178082,0.0,0.0,0.0,79.18,88.34,264.48,The Impact of Oral Feedings on the Preterm Infant Microbiome and Metabolome,include,,False,
PRJNA1087376,230,211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004739336492890996,90.74,89.41,1578.01,M4EFaD - Gut microbiome changes associated with malnutrition,include,,False,
PRJNA1095378,60,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Neonatal antibiotic resistance,include,,False,
PRJNA1102671,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,"High detection frequency of vaccine-associated polioviruses and non-polio enteroviruses in stools of asymptomatic infants from the Free State Province, South Africa.",include,,False,
PRJNA1105631,196,178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07865168539325842,0.06741573033707865,0.11797752808988764,0.3258426966292135,23.884999999999998,57.83,124.24000000000001,Microbiome features of bronchopulmonary dysplasia,include,,False,
PRJNA1106451,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.95,87.62,2956.24,Metagenomic assembly of genomes from a segmented filamentous bacterium present in the gut of Malian children,include,,False,
PRJNA1106565,669,603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008291873963515755,0.0,0.0,0.0,71.29,88.78,401.59,Antibiotic exposure is associated with minimal gut microbiome perturbations in healthy term infants,include,,False,
PRJNA1112760,132,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Metagenomic signatures of early life brain damage,include,,False,
PRJNA1112983,202,182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.005494505494505495,0.03296703296703297,55.36,90.42,1896.6100000000001,Kawasaki diseases patients metagenome Raw sequence reads,include,,False,
PRJNA1113165,736,674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008902077151335312,0.0,0.001483679525222552,0.016320474777448073,83.56,78.365,5630.77,Misame3 gut metagenomic,include,,False,
PRJNA1123170,760,692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015895953757225433,0.0,0.0,0.02023121387283237,79.01,87.405,510.5,A microbiota-directed therapeutic food for severely malnourished children evaluated following acute nutritional resuscitation,include,,False,
PRJNA1128723,65,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.67500000000001,89.495,701.3,Human gut metagenomes of South African infants,include,,False,
PRJNA1128803,9,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.205,84.55000000000001,1208.355,Macrogenome sequence of the infant gut microbiota,include,,False,
PRJNA1130109,203,179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061452513966480445,0.0,0.0,0.01675977653631285,96.32,93.86,648.69,Infant gut microbiome study,include,,False,
PRJNA1138246,298,293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09897610921501707,0.0,0.0,0.0,100.0,94.03,2921.21,Fecal metagenomes of Peruvian children,include,,False,
PRJNA1139951,663,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,68.15,77.64,3703.87,Long read metagenomics,include,,False,
PRJNA1140720,1013,935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010695187165775401,0.0,0.0,0.0,91.29,92.55,3918.8,Modelling human microbiome transmission in a nursery setting,include,,False,
PRJNA1141394,133,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49230769230769234,0.0,0.0,0.015384615384615385,75.11500000000001,95.465,2523.79,Biofilm metagenome Raw sequence reads,include,,False,
PRJNA1143669,65,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13559322033898305,0.0,0.0,0.0,100.0,95.71,7812.56,Gut microbiota of neonates exposed to HIV,include,,False,
PRJNA1145027,81,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109375,0.015625,0.0,0.0625,75.75999999999999,93.13,360.075,Metal availability shapes early life microbial ecology and community succession,include,,False,
PRJNA1148144,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.041666666666666664,72.37,93.515,642.06,Biosignatures of late-onset extraintestinal bacterial infections,include,,False,
PRJNA1154644,94,92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.5,91.12,1696.9450000000002,Species- and subspecies-level characterization of health-associated bacterial consortia that colonize the human gut during infancy,include,,False,
PRJNA1160256,21,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.21,84.91,457.93,The effects of selected food components and additives on the human gut microbiome,include,,False,
PRJNA1162635,136,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04854368932038835,0.0,0.0,0.0,96.27,96.81,1656.71,A Metagenome-Assembled Genome Inventory for Children (MAGIC),include,,False,
PRJNA1166969,12,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.16666666666666666,0.0,0.16666666666666666,46.15,68.64,695.755,Multi-Omics Analysis of the Microbial Profile Characteristics Associated with Pulmonary Arterial Hypertension in Congenital Heart Disease,include,,False,
PRJNA1169661,152,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23333333333333334,0.13333333333333333,0.006666666666666667,0.08666666666666667,67.92,89.78,257.96500000000003,Infamilk,include,,False,
PRJNA1177813,126,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008771929824561403,0.0,0.0,0.008771929824561403,67.725,76.19,167.08,2FL age specific bifidobacterium effect,include,,False,
PRJNA1189459,89,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12987012987012986,0.0,0.0,0.0,94.5,91.84,803.23,MicrobeMon threemonth infant,include,,False,
PRJNA1191223,92,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17777777777777778,0.0,0.0,0.0,96.41499999999999,97.555,488.6,Impact of early life antibiotic and probiotic treatment on gut microbiome and resistome of preterm infants (metagenome samples),include,,False,
PRJNA1195013,44,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.065,84.18,2592.9,"Stool microbiota from Mayan families. Age, town size, season, and food sourcing strategy evaluation",include,,False,
PRJNA1198101,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,MILK study metagenomic re-sequencing of human milk,include,,False,
PRJNA1206145,108,108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09259259259259259,0.0,0.0,0.0,80.50999999999999,96.045,556.31,Shotgun sequencing of the gut microbiome from infants enrolled in a randomized controlled trial of a microbiome-based integrative wellness program.,include,,False,
PRJNA1217583,34,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,93.48,88.19,2289.1,"Metagenomic predictors of childhood obesity, cross-talk with maternal microflora",include,,False,
PRJNA1222487,95,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Gut microbiome signatures and reduced Faecalibacterium and Roseburia in infants with early allergic conditions,include,,False,
PRJNA1225421,210,209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009569377990430622,0.0,0.0,0.009569377990430622,88.37,86.71,864.18,Microbiome data from the ECoMiD cohort study in Ecuador,include,,False,
PRJNA1227883,112,101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0891089108910891,0.09900990099009901,0.009900990099009901,0.0,92.04,92.55,1985.6,Metagenomes from mother-infant fecal and breastmilk samples of the MAMI cohort Metagenome,include,,False,
PRJNA1230889,108,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Mutualistic interactions between Escherichia coli and Bifidobacterium bifidum enable degradation of human milk oligosaccharides in healthy infants,include,,False,
PRJNA1231247,40,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1794871794871795,0.0,0.0,0.0,100.0,97.44,1816.17,metagenome Raw sequence reads,include,,False,
PRJNA1233922,38,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13513513513513514,0.0,0.0,0.13513513513513514,100.0,96.23,1637.37,gut metagenome,include,,False,
PRJNA1241499,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,"Pediatric IBD Shotgun Metagenomics, Metatranscriptomics, and 16S rRNA",include,,False,
PRJNA1249435,315,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Neurobiological and neurocognitive consequences of diverse microbiome functional trajectories,include,,False,
PRJNA1257550,1737,1450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057931034482758624,0.0,0.0,0.010344827586206896,94.775,94.61,1746.1599999999999,Role of gut microbiota in eczema development,include,,False,
PRJNA1258733,156,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Human Gut Metagenome,include,,False,
PRJNA1259152,1252,1233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013787510137875101,0.0,0.0,0.0008110300081103001,92.21,91.79,1616.01,MOMMY_IBD,include,,False,
PRJNA1260441,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Comparative evaluation of DNA extraction protocols for neonatal gut microbiota profiling in a resource-limited setting,include,,False,
PRJNA1260751,26,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.15384615384615385,0.0,75.555,93.315,3172.4700000000003,Maternal Obesity Alters Human Milk Oligosaccharides Content and Promotes Early Acquisition of Late Colonizers in the Neonatal Gut Microbiome,include,,False,
PRJNA1273620,325,317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006309148264984227,0.0,0.0,0.0,84.72,92.1,1521.77,Maternal-Prenatal Signature Underlying Offspring Atopic Dermatitis Susceptibility,include,,False,
PRJNA1274040,1000,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Yoghurt supplementation in overweight/obese women from early pregnancy to postpartum augments gut microbiota in their infants,include,,False,
PRJNA1274602,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,66.06,97.07499999999999,2291.285,Association of fentanyl-induced microbiome changes and neurodevelopmental outcomes in preterm infants,include,,False,
PRJNA1274946,353,331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030211480362537764,0.0,0.0,0.0,79.02,92.62,2630.51,Siblings are Reservoirs for Microbial Metabolic Processes that Influence Allergy Development,include,,False,
PRJNA1280936,895,870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052873563218390804,0.0,0.0034482758620689655,0.010344827586206896,85.06,95.46000000000001,2538.9700000000003,Gut Microbiome of Infants in the Neonatal Intensive Care Unit,include,,False,
PRJNA1286160,247,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0125,93.85499999999999,90.295,1994.605,Antibiotic resistance genes in infants with and without obesity,include,,False,
PRJNA1290379,261,221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24434389140271492,0.0,0.0,0.0,31.38,91.72,863.96,Infant stool,include,,False,
PRJNA1301887,517,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Preterm infant weight gain patterns are not associated with gut microbiome measures,include,,False,
PRJNA1304237,22,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23809523809523808,0.0,0.047619047619047616,0.09523809523809523,90.98,92.46,589.95,Gut Microbiota Signatures in Indian Preterm Infants with Necrotizing Enterocolitis,include,,False,
PRJNA1305341,250,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,ProRIDE Deep Seq Metagenomics Raw sequence reads,include,,False,
PRJNA1312123,272,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11904761904761904,0.0,0.0,0.0,100.0,91.995,334.125,Development of the preterm infant gut and gastric residuals microbiome,include,,False,
PRJNA1320699,90,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,16S sequencing of infant stool Metagenome,include,,False,
PRJNA1337172,168,161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024844720496894408,0.0,0.0,0.0,94.41,91.98,3304.57,Early prenatal antibiotic usage has limited impact on the microbiomes of infants,include,,False,
PRJNA1337442,450,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Effect of Mass Azithromycin Distribution on Antibiotic Resistance in the Gut and Nasopharynx: A Cluster-Randomized Trial,include,,False,
PRJNA1348516,809,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Metagenomic sequencing of stool samples of infants raw sequence reads,include,,False,
PRJNA1355224,151,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Human metagenomic samples Metagenome,include,,False,
PRJNA1356541,511,496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020161290322580645,0.0,0.0,0.0020161290322580645,99.61,82.49000000000001,3834.49,Metagenomic strain tracking among children in urban and rural communities in low- and middle-income countries.,include,,False,
PRJNA1364313,361,356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10955056179775281,0.014044943820224719,0.19101123595505617,0.008426966292134831,36.685,90.465,287.49,Antibiotic impact on preterm infant microbiome maturation,include,,False,
PRJNA1368374,191,187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06417112299465241,0.0,0.0962566844919786,0.026737967914438502,93.79,89.13,2100.36,Metagenomes from mother-infant fecal samples,include,,False,
PRJNA1378986,1878,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Human gut metagenome during the first year of life,include,,False,
PRJNA1403004,1018,963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04880581516095535,0.0,0.0,0.0010384215991692627,90.99,90.43,261.07,Shotgun metagenomic sequencing of infant stool samples from the CHILD Cohort Study,include,,False,
PRJNA1404625,835,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Investigating the role of the infant gut microbiome in rotavirus vaccine efficacy,include,,False,
PRJNA1406796,30,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.06896551724137931,47.84,79.65,871.5,Metagenomic Identification,include,,False,
PRJNA1413407,108,107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18691588785046728,0.0,0.0,0.0,90.86,96.33,932.29,Microbial-based integrated model to measure and module brain development and function,include,,False,
PRJNA1414141,90,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Gut Microbiome Dysbiosis in Neonatal Lupus,include,,False,
PRJNA1425751,383,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Gut metagenome,include,,False,
PRJNA1428929,120,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Gut Microbiota and Metabolome Signatures in Preterm Infants with High versus Low Risk for Neurodevelopmental Impairment,include,,False,
PRJNA1435557,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,ROLE OF GUT MICROBIOME AND MICROBIAL EPITOPE IN ROTAVIRUS INFECTION AMONG MALAYSIAN CHILDREN,include,,False,
PRJNA1445880,740,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Infant gut microbiome samples Gastrointestinal Microbiome and Allergic Proctocolitis cohort,include,,False,
PRJNA1445932,398,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Effect of a complementary feeding intervention on the gut microbiota in 12-18-month- old children,include,,False,
PRJNA1452547,299,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Chlorinated Water Effects on Infant Gut Microbiota,include,,False,
PRJNA1452619,159,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Microbiome and growth faltering in Indian Infants,include,,False,
PRJNA1468137,4749,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Maternal influences on infant gut microbiome and health,include,,False,
PRJNA1472032,54,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Metagenomic profiling of maternal and infant gut microbiome samples,include,,False,
PRJNA1476247,174,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Evaluating metagenomic sequencing as a stool-based diagnostic in children with presumptive TB in Uganda Jun 3 26,include,,False,
PRJNA1490646,319,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Gut Microbiome of Pregnancy and Infancy,include,,False,
PRJNA1502892,390,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,"Associations between antibiotic exposure intensity, intestinal microbiome perturbations, and outcomes in premature neonates with bacteremia",include,,False,
PRJNA1504428,685,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Gut microbiomes in children with complicated severe acute malnutrition during hospitalisation and long-term follow-up,include,,False,
PRJNA1513446,44,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Metagenomic sequencing of meconium microbiota of neonates,include,,False,
PRJNA1513833,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,"ENTERIC VIRAL DETECTION AND BACTERIAL MICROBIOME PROFILES IN CHILDREN UNDER FIVE YEARS WITH ACUTE GASTROENTERITIS IN EMBU COUNTY, KENYA",include,,False,
PRJNA215102,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.38,81.29,6803.48,Premature infant gut Metagenome,include,,False,
PRJNA215106,169,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.37,16.59,192.19,Pediatric Fecal Metagenome,include,,True,low_known_species_high_depth_majority
PRJNA221723,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.38,88.5,3941.205,Gut metagenome from two premature infants,include,,False,
PRJNA231909,542,490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.91,78.22,79.215,"A prospective, longitudinal analysis of the developing gut microbiome in infants en route to type 1 diabetes",include,,False,
PRJNA268964,116,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40816326530612246,66.325,64.265,484.58500000000004,Human Gut Microbiome Metagenome,include,,False,
PRJNA272371,28,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,89.86500000000001,2378.965,Infant fecal microbiome related to eczema,include,,False,
PRJNA273761,60,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,93.765,95.255,633.4549999999999,Metagenomes from human infant fecal samples with and without necrotizing enterocolitis,include,,False,
PRJNA284162,143,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,STL Infant Twins Microbiome,include,,False,
PRJNA287207,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.15,97.16,990.2,Evaluation of vertical transmission between mother-infant,include,,False,
PRJNA290380,785,716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009776536312849162,0.0,0.0,0.00558659217877095,60.644999999999996,79.66499999999999,283.095,"A longitudinal analysis of the developing gut microbiome in infants from Finland, Estonia, and Russian Karelia",include,,False,
PRJNA294605,158,138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2028985507246377,0.0,0.0,0.0,100.0,97.245,725.725,Metagenomes from 11 human infant fecal samples hospitalized in the same intensive care unit,include,,False,
PRJNA296814,1082,998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014028056112224449,0.0,0.0,0.19238476953907815,89.055,92.17,1132.125,New Hampshire Birth Cohort Study microbiome: marker gene and shotgun metagenomic sequencing,include,,False,
PRJNA299342,11,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.66,86.155,978.4549999999999,children intestinal bacteria about SFB metagenome,include,,False,
PRJNA300541,382,297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006734006734006734,0.0,0.010101010101010102,0.37037037037037035,100.0,57.33,187.5,Antibiotic resistance exchange between microbiota in resource-poor settings in Latin America,include,,False,
PRJNA301903,982,405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2074074074074074,0.0,0.0,0.01728395061728395,100.0,94.65,191.19,Metagenomic sequencing of preterm infant gut microbiota raw sequence reads,include,,False,
PRJNA311208,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,84.38,88.60499999999999,1802.105,Severe gut microbiota dysbiosis is associated with poor growth in patients with short bowel syndrome,include,,False,
PRJNA312041,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,human fecal raw sequence reads,include,,False,
PRJNA320015,28,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,46.21,63.08,15.08,Technical validation of ethanol fixation on stool canine and infant metagenomes,include,,False,
PRJNA322188,99,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08108108108108109,0.0,0.0,0.04054054054054054,94.64,88.07,779.955,Maturation of the Infant Microbiome Community Structure and Function Across Multiple Body Sites,include,,False,
PRJNA327106,45,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,94.2,97.27,681.97,"Raw reads of the microbiota of premature infant mouth, skin, and gut",include,,False,
PRJNA339914,24,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,93.9,88.23,800.7,Vertical Transmission Pilot,include,,False,
PRJNA343008,48,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.18,0.0,0.78,feces metagenome Raw sequence reads,include,,False,
PRJNA343144,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Infant gut microbiome Metagenomic assembly,include,,False,
PRJNA345144,646,564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07446808510638298,0.0017730496453900709,0.0017730496453900709,0.0017730496453900709,61.915,92.61500000000001,652.88,Probiotics in Pregnancy study,include,,False,
PRJNA352475,230,126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.007936507936507936,0.06349206349206349,89.66,87.81,763.845,Mother-infant microbiome vertical transmission,include,,False,
PRJNA363003,27,26,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.07692307692307693,91.64500000000001,81.075,1279.725,human metagenome Raw sequence reads,include,,False,
PRJNA376566,407,351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21367521367521367,0.0,0.002849002849002849,0.005698005698005698,92.39,95.78,767.05,preterm infant gut metagenomes (S2_2013 and NIHY2_2012 cohorts),include,,False,
PRJNA379120,70,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20689655172413793,0.0,0.017241379310344827,0.0,96.555,90.57,1412.63,"Colonization, succession and evolution of the earliest human gastrointestinal microbiome",include,,False,
PRJNA380031,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.59,88.62,1077.34,Maternal inheritance of bifidobacterial communities and bifidophages in infants through vertical transmission,include,,False,
PRJNA384716,96,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09333333333333334,0.10666666666666667,0.0,0.0,97.19,85.92,577.85,human metagenome,include,,False,
PRJNA385126,40,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.18,0.0,0.78,viral metagenome Metagenome,include,,False,
PRJNA387903,220,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,Intestinal Virome Changes Precede Autoimmunity in Type I Diabetes Susceptible Children,include,,False,
PRJNA390646,60,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33962264150943394,0.0,0.0,0.0,96.82,98.06,1168.51,Infant Microbiota and Probiotic Intake Study (IMPRINT),include,,False,
PRJNA394687,27,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,81.61,80.86,7810.13,Confirmation of Shigella detection in culture negative PCR positive diarrheal cases using a metagenomic approach,include,,False,
PRJNA396794,305,275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18545454545454546,0.0,0.05454545454545454,0.01090909090909091,93.29,95.84,1605.23,preterm infant gut metagenomes (NIH Y4 Cohort),include,,False,
PRJNA398089,2041,1221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013923013923013924,0.000819000819000819,0.0,0.00819000819000819,75.88,84.58,393.79,Longitudinal Multi'omics of the Human Microbiome in Inflammatory Bowel Disease,include,,False,
PRJNA400115,13245,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,TEDDY Microbiome,include,,False,
