study_accession,triage_verdict,outcome,confidence,reason_code,evidence,model,decision_stage,note,n_infant_samples_est,body_site_call,slot,validator_ok,validator_msg,study_title,n_samples,n_runs,first_public_min,sig_infant_hit,sig_infant_title,screen_haiku,linked_infant_paper,universe_slice,catalog_status,assessed_downstream,recov_age,recov_antibiotics,recov_delivery,recov_feeding,recov_preterm,recov_probiotic,cohort_id,cohort_name,cohort_crosswalk_names,n_biosample_infant_flagged,n_linked_papers,linked_pmids,median_gbp,median_read_len,paired_share,instrument_model_top,generation_top,timepoint_class,country_top,worklist_rank,expected_field_yield,effort_class,controlled_access,review_round
PRJNA824667,uncertain,unsure_adjudicated,0.4,,"[{""source"": ""sample.attr.group"", ""quote"": ""group: baseline_10""}, {""source"": ""sample.attr.group"", ""quote"": ""group: 3month_57""}, {""source"": ""study.description"", ""quote"": ""gut metagenomic""}]",claude-fable-5-1,session_model_review_round2,"human-review round 2 (evidence_limited_to=biosample): UNRESOLVABLE: host, age and body site. Europe PMC returns no hit for PRJNA824667 or SRP369172; ENA study/experiment XML carry only 'gut metagenomic', and BioSample gives timepoint labels (baseline/3month/6month) with isolation_source 'Maxwell' (an extraction kit). Would need the submitter's publication or subject metadata.",,stool(unstated),triage_verdict,True,,gut metagenome Raw sequence reads,267,267,2022-04-12,False,False,,False,growth_reenum_delta_2026-09-18,human_review,True,R0,R0,R0,R0,R0,R0,COH2309,singleton study PRJNA824667,,0,0,,5.80795651,151.0,1.0,Illumina NovaSeq 6000,gen3,single_timepoint,Hong Kong,336.0,0.5,abstract_only,False,round2_unresolvable
PRJEB32732,uncertain,unsure_adjudicated,0.4,,"[{""source"": ""study.title"", ""quote"": ""Trial B 2019""}, {""source"": ""sample.title"", ""quote"": ""LSA 1404""}, {""source"": ""run.center_name"", ""quote"": ""LSA-DISTAL-UNIBO""}]",claude-fable-5-1,session_model_review_round2,"human-review round 2 (evidence_limited_to=archive_only): UNRESOLVABLE: even the host species. No Europe PMC hit for PRJEB32732/ERP115446; the ENA records carry no host, age, body-site or isolation-source field, only 61 WGS metagenome runs from a Bologna agri-food department submitter.",,unstated,triage_verdict,True,,Trial B 2019,61,61,2020-06-07,False,False,,False,growth_reenum_delta_2026-09-18,human_review,True,R0,R0,R0,R0,R0,R0,COH2310,singleton study PRJEB32732,,0,0,,5.411633397,142.3468766964862,0.0,NextSeq 500,bench,single_timepoint,,376.0,0.5,abstract_only,False,round2_unresolvable
PRJEB41866,uncertain,unsure_adjudicated,0.4,,"[{""source"": ""study.description"", ""quote"": ""100 Stool Samples and 100 Skin Samples""}, {""source"": ""sample.title"", ""quote"": ""TTSH Stool Samples""}]",claude-fable-5-1,session_model_review_round2,"human-review round 2 (evidence_limited_to=archive_only): UNRESOLVABLE: host and age. Singapore GIS deposit ('TTSH Study'), 98 stool + 62 skin runs, no Europe PMC hit for PRJEB41866/ERP125708 and no host/age/checklist fields in ENA or BioSample.",,stool+skin,triage_verdict,True,,TTSH Study,160,160,2023-02-16,False,False,,False,growth_reenum_delta_2026-09-18,human_review,True,R0,R0,R0,R0,R0,R0,COH2315,singleton study PRJEB41866,TTSH,0,0,,3.489693054,49.59459464421577,1.0,Illumina HiSeq 2500,gen1,single_timepoint,,345.0,0.5,abstract_only,False,round2_unresolvable
PRJEB81735,uncertain,unsure_adjudicated,0.4,,"[{""source"": ""study.description"", ""quote"": ""The metagenomic sequencing data of 38 healthy individuals.""}, {""source"": ""sample.title"", ""quote"": ""Metagenome or environmental sample from metagenome""}]",claude-fable-5-1,session_model_review_round2,"human-review round 2 (evidence_limited_to=archive_only): UNRESOLVABLE: age and body site. '38 healthy individuals' with no age, host or site field anywhere in ENA/BioSample and no Europe PMC hit for PRJEB81735/ERP165538.",,unstated,triage_verdict,True,,The metagenomic sequencing data of healthy individuals.,38,38,2024-11-08,False,False,,False,growth_reenum_delta_2026-09-18,human_review,True,R0,R0,R0,R0,R0,R0,COH2319,singleton study PRJEB81735,,0,0,,7.235310757500001,74.54050272793208,1.0,Illumina MiSeq,bench,single_timepoint,China,391.0,0.5,abstract_only,False,round2_unresolvable
PRJEB25672,uncertain,unsure_adjudicated,0.35,,"[{""source"": ""study.title"", ""quote"": ""JoanneHStudy""}, {""source"": ""sample.title"", ""quote"": ""sample_1""}, {""source"": ""run.center_name"", ""quote"": ""Unilever""}]",claude-fable-5-1,session_model_review_round2,"human-review round 2 (evidence_limited_to=archive_only): UNRESOLVABLE: host, age, body site. 22 MiSeq runs from a Unilever submitter with placeholder sample names and no Europe PMC hit for PRJEB25672/ERP107612.",,unstated,triage_verdict,True,,JoanneHStudy,22,22,2018-05-21,False,False,,False,growth_reenum_delta_2026-09-18,human_review,True,R0,R0,R0,R0,R0,R0,COH2320,singleton study PRJEB25672,,0,0,,4.755969769,85.38302335420062,1.0,Illumina MiSeq,bench,single_timepoint,,402.0,0.5,abstract_only,False,round2_unresolvable
PRJEB41865,uncertain,unsure_adjudicated,0.4,,"[{""source"": ""study.description"", ""quote"": ""72 Stool Samples from NUH Study""}, {""source"": ""sample.title"", ""quote"": ""NUH Stool Samples""}]",claude-fable-5-1,session_model_review_round2,human-review round 2 (evidence_limited_to=archive_only): UNRESOLVABLE: host and age. Companion deposit to PRJEB41866 from the same Singapore GIS submitter; stool site is stated but no host/age field and no publication found.,,stool,triage_verdict,True,,NUH Stool,72,72,2023-02-16,False,False,,False,growth_reenum_delta_2026-09-18,human_review,True,R0,R0,R0,R0,R0,R0,COH2321,singleton study PRJEB41865,,0,0,,1.1155071589999999,49.690450485649556,1.0,Illumina HiSeq 2500,gen1,single_timepoint,,370.0,0.5,abstract_only,False,round2_unresolvable
PRJNA1206304,uncertain,unsure_adjudicated,0.4,,"[{""source"": ""study.title"", ""quote"": ""Microbial Macrogenome""}, {""source"": ""sample.attr.isolate"", ""quote"": ""isolate: macrogenome1""}, {""source"": ""sample.attr.host"", ""quote"": ""host: not applicable""}]",claude-fable-5-1,session_model_review_round2,"human-review round 2 (evidence_limited_to=biosample): UNRESOLVABLE: host, age and body site. 18 deep NovaSeq metagenomes from China with host 'not applicable', isolation_source 'not applicable' and no publication; the shotgun assay is clear but nothing else is.",,unstated,triage_verdict,True,,Microbial Macrogenome,18,18,2025-06-23,False,False,,False,growth_reenum_delta_2026-09-18,human_review,True,R0,R0,R0,R0,R0,R0,COH2322,singleton study PRJNA1206304,,0,0,,10.736394751999999,151.0,1.0,Illumina NovaSeq 6000,gen3,single_timepoint,China,407.0,0.5,abstract_only,False,round2_unresolvable
PRJNA922352,uncertain,unsure_adjudicated,0.4,,"[{""source"": ""study.title"", ""quote"": ""Prebiotics related research""}, {""source"": ""sample.attr.host"", ""quote"": ""host: not applicable""}, {""source"": ""run.library_name"", ""quote"": ""TG2M429""}]",claude-fable-5-1,session_model_review_round2,"human-review round 2 (evidence_limited_to=biosample): UNRESOLVABLE: host, age and body site. Twelve WGS metagenomes with treatment/control library codes (TG*/CG*), host 'not applicable', isolation_source 'not applicable', no publication; the M429/M650 codes could be subject or mouse identifiers.",,unstated,triage_verdict,True,,Prebiotics related research,12,12,2023-01-12,False,False,,False,growth_reenum_delta_2026-09-18,human_review,True,R0,R0,R0,R0,R0,R0,COH2325,singleton study PRJNA922352,,0,0,,6.0519051,150.0,1.0,Illumina HiSeq 2000,gen1,single_timepoint,China,415.0,0.5,abstract_only,False,round2_unresolvable
PRJEB60423,uncertain,unsure_adjudicated,0.4,,"[{""source"": ""study.title"", ""quote"": ""ecmo-ccu""}, {""source"": ""sample.title"", ""quote"": ""human metagenome""}, {""source"": ""run.instrument_model"", ""quote"": ""NextSeq 550""}]",claude-fable-5-1,session_model_review_round2,"human-review round 2 (evidence_limited_to=archive_only): UNRESOLVABLE: age and body site. Shallow clinical mNGS (median 29.6 Mb/run) from the Zhengzhou First Affiliated Hospital series; the same submitter's published deposits (PRJEB57970, PRJEB61771) are adult ICU body-fluid mNGS, but this one has no linked paper, no site field and no age, so it cannot be placed on its own evidence.",,unstated,triage_verdict,True,,ecmo-ccu,93,93,2023-03-07,False,False,,False,growth_reenum_delta_2026-09-18,human_review,True,R0,R0,R0,R0,R0,R0,COH2289,singleton study PRJEB60423,,0,0,,0.02963805,50.0,0.0,NextSeq 550,bench,single_timepoint,,362.0,0.5,abstract_only,False,round2_unresolvable
PRJEB51501,uncertain,unsure_adjudicated,0.45,,"[{""source"": ""paper.fulltext.methods"", ""quote"": ""Twenty volunteers (11 females/9 males) provided five fresh stool samples""}, {""source"": ""paper.fulltext.data_availability"", ""quote"": ""All raw data are available at the European Nucleotide Archive (PRJEB51501)""}]",claude-fable-5-1,session_model_review_round2,"human-review round 2 (evidence_limited_to=fulltext): UNRESOLVABLE: participant ages. The Hannover butyrate/propionate study reports 20 volunteers sampled five times over 3 months (212 runs) but neither the paper, its Table S1 nor the supplemental methods state any age; 'volunteers' alone cannot place the cohort.",,stool,triage_verdict,True,,Predicting butyrate- and propionate-forming bacteria of gut microbiota from sequencing data,212,212,2022-03-11,False,False,,False,growth_reenum_delta_2026-09-18,human_review,True,R3,R0,R0,R0,R0,R0,COH2327,singleton study PRJEB51501,,0,2,36416760,3.6220287129999997,75.5,1.0,Illumina NovaSeq 6000,gen3,single_timepoint,,274.0,1.5500000000000005,fulltext_only,False,round2_unresolvable
PRJNA1206528,uncertain,unsure_adjudicated,0.4,,"[{""source"": ""sample.attr.age"", ""quote"": ""age: 10 weeks""}, {""source"": ""sample.attr.host"", ""quote"": ""host: missing""}, {""source"": ""sample.attr.sex"", ""quote"": ""sex: female""}]",claude-fable-5-1,session_model_review_round2,"human-review round 2 (evidence_limited_to=biosample): UNRESOLVABLE: host species. All 12 BioSamples carry age '10 weeks', sex 'female', tissue 'intestine', isolate 'feces', one collection date and host 'missing', under taxon 'gut metagenome' - a pattern typical of a rodent treatment experiment ('The impact of different treatments on gut microbiota'), not human infants. The 10-week age must not be ",,intestine,triage_verdict,True,,Intestinal flora Genome sequencing and assembly,12,12,2025-01-09,False,False,,False,growth_ena_misfiled_library_source_genomic_2026-09-18,human_review,True,R0,R0,R0,R0,R0,R0,COH2335,singleton study PRJNA1206528,,0,0,,6.37126905,150.0,1.0,Illumina HiSeq 2000,gen1,single_timepoint,China: Nanjing,416.0,0.5,abstract_only,False,round2_unresolvable
PRJNA590369,uncertain,unsure_adjudicated,0.4,,"[{""source"": ""sample.attr.isolation_source"", ""quote"": ""isolation_source: feces""}, {""source"": ""sample.attr.host"", ""quote"": ""host: Homo sapiens""}, {""source"": ""study.title"", ""quote"": ""fecal metagenome Raw sequence reads""}]",claude-fable-5-1,session_model_review_round2,"human-review round 2 (evidence_limited_to=biosample): UNRESOLVABLE: age. Ten deep human faecal metagenomes (host 9606, feces, ~14 Gb/run) with paired library names (1/L-6 etc.) but no age, no geography, no checklist and no Europe PMC hit for PRJNA590369/SRP231233.",,stool,triage_verdict,True,,fecal metagenome Raw sequence reads,10,10,2021-01-04,False,False,,False,growth_ena_misfiled_library_source_genomic_2026-09-18,human_review,True,R0,R0,R0,R0,R0,R0,COH2339,singleton study PRJNA590369,,0,0,,13.94283195,150.0,1.0,HiSeq X Ten,gen2,single_timepoint,,418.0,0.5,abstract_only,False,round2_unresolvable
PRJNA629353,uncertain,unsure_adjudicated,0.5,,"[{""source"": ""study.title"", ""quote"": ""gut microbiome and Insulin Resistance in children born very preterm""}, {""source"": ""sample.attr.environmental_medium"", ""quote"": ""human_stool""}, {""source"": ""run.library_strategy"", ""quote"": ""WGS""}]",claude-opus-5,opus_adjudication_biosample_rejudge,"re-judged with BioSample age attributes (20 infant-flagged samples, median nan mo); prior exclude (age_child_over_36m) superseded",,,triage_verdict,True,,The gut microbiome and Insulin Resistance in children born very preterm - whole genomic sequencing,41,41,2021-05-07,True,True,,False,growth_ena_misfiled_library_source_genomic_2026-09-18,human_review,False,,,,,,,,,,20,0,,,,,,,,,,,,,biosample_rejudge_uncertain
PRJNA926022,uncertain,unsure_adjudicated,0.4,,"[{""source"": ""sample.attr.isolation_source"", ""quote"": ""isolation_source: fecal sample""}, {""source"": ""sample.attr.host"", ""quote"": ""host: Homo sapiens""}, {""source"": ""study.description"", ""quote"": ""To investigate the impact of treatment on intestinal microbial""}]",claude-fable-5-1,session_model_review_round2,"human-review round 2 (evidence_limited_to=biosample): UNRESOLVABLE: age. 393 human faecal WGS runs (~15 Gb/run, Zhengzhou) with an uninformative 'tmp' subject field, no age attribute and no Europe PMC hit for PRJNA926022/SRP418540. This also clears the earlier validator_rejected row, which quoted an empty sample.attr.age.",,stool,triage_verdict,True,,Effect of Natural Products on the Intestinal Microbial,393,393,2023-01-31,False,False,,False,growth_ena_misfiled_library_source_genomic_2026-09-18,human_review,True,R0,R0,R0,R0,R0,R0,COH2346,singleton study PRJNA926022,,0,0,,14.961720844,151.0,1.0,Illumina HiSeq 2000,gen1,single_timepoint,China: Zhengzhou,331.0,0.5,abstract_only,False,round2_unresolvable
PRJEB102751,uncertain,unsure_adjudicated,0.4,,"[{""source"": ""study.description"", ""quote"": ""fecal samples of 86 patients with functional gastrointestinal disorders""}, {""source"": ""sample.attr.environmental medium"", ""quote"": ""environmental medium: fecal environment""}, {""source"": ""sample.title"", ""quote"": ""st002""}]",claude-fable-5-1,session_model_review_round2,"human-review round 2 (evidence_limited_to=archive_only): UNRESOLVABLE: age. Human faecal shotgun from 86 FGID patients, first public 2026-09-21 with no publication yet and no age field on any of the 172 runs or 86 BioSamples.",,stool,triage_verdict,True,,Metagenomic sequencing data of gut microbiota from patients with functional gastrointestinal disorders (FGIDs),86,86,2026-09-21,False,False,,False,growth_frame_free_sweep_2026-09-24,human_review,True,R0,R0,R0,R0,R0,R0,COH2349,singleton study PRJEB102751,,0,0,,3.7427001355,73.99670361467047,1.0,Illumina NovaSeq 6000,gen3,single_timepoint,China,366.0,0.5,abstract_only,False,round2_unresolvable
PRJEB47794,uncertain,unsure_adjudicated,0.5,,"[{""source"": ""sample.attr.description"", ""quote"": ""Preterm infant human stool bacteria""}, {""source"": ""study.title"", ""quote"": ""Test uploads for preterm metagenomes""}, {""source"": ""sample.attr.project name"", ""quote"": ""project name: PRETERM METAGENOMES""}]",claude-fable-5-1,session_model_review_round2,"human-review round 2 (evidence_limited_to=biosample): UNRESOLVABLE: whether the assay is community metagenomics or cultured isolates. Host, site and age are all in scope on the BioSample text ('Preterm infant human stool bacteria', Stool, human-gut package, Newcastle), and library_source is METAGENOMIC at 1.7-2.5 Gb/run - but the organism is 'bacterium', investigation type is 'bacteria_archaea' an",,stool,triage_verdict,True,,Test uploads for preterm metagenomes,2,2,2022-09-29,True,True,,False,growth_frame_free_sweep_2026-09-24,human_review,True,R0,R0,R0,R0,R0,R0,COH2347,singleton study PRJEB47794,,0,0,,2.5202564179999998,68.02637957444799,1.0,HiSeq X Ten,gen2,single_timepoint,United Kingdom,425.0,0.5,abstract_only,False,round2_unresolvable
PRJNA1484372,uncertain,unsure_adjudicated,0.4,,"[{""source"": ""sample.attr.age"", ""quote"": ""age: not collected""}, {""source"": ""sample.attr.tissue"", ""quote"": ""tissue: fecal""}, {""source"": ""run.experiment_title"", ""quote"": ""MASLD26""}]",claude-fable-5-1,session_model_review_round2,"human-review round 2 (evidence_limited_to=biosample): UNRESOLVABLE: age. All 60 NCBI BioSamples record age 'not collected' and sex 'not collected'; the experiment titles ('MASLD26') identify a MASLD case-control design, matching the Health*/MASLD* library names of the separate deposit PRJNA1498228, but no publication exists and nothing places any subject in 0-36 months.",,stool,triage_verdict,True,,Homo sapiens Metagenome,60,60,2026-07-10,False,False,,False,growth_frame_free_sweep_2026-09-24,human_review,True,R0,R0,R0,R0,R0,R0,COH2360,singleton study PRJNA1484372,,0,0,,12.378262358499999,149.74381143774184,1.0,Illumina NovaSeq 6000,gen3,single_timepoint,,377.0,0.5,abstract_only,False,round2_unresolvable
PRJNA1514298,uncertain,unsure_adjudicated,0.5,,"[{""source"": ""study.description"", ""quote"": ""serial fecal samples were collected from two hospitalized pediatric patients""}, {""source"": ""run.experiment_title"", ""quote"": ""shotgun metagenomic sequencing of human gut metagenome : Pediatric Patient A""}, {""source"": ""sample.attr.env_medium"", ""quote"": ""env_medium: feces""}]",claude-fable-5-1,session_model_review_round2,"human-review round 2 (evidence_limited_to=biosample): UNRESOLVABLE: the two patients' ages. Host, assay and site are all in scope (human faecal shotgun metagenomes, Zhejiang, 13 runs) and the design is longitudinal during Salmonella/CRE infection, but 'pediatric' is the only age information anywhere in the deposit and no publication exists yet. Strong candidate to revisit once the paper appears.",,stool,triage_verdict,True,,Probiotic-associated gut ecosystem recovery and carbapenem-resistant Enterobacteriaceae clearance in pediatric Salmonella infection,13,13,2026-08-23,False,False,,False,growth_frame_free_sweep_2026-09-24,human_review,True,R0,R0,R0,R0,R0,R0,COH2361,singleton study PRJNA1514298,,0,0,,,,0.9230769230769231,Illumina NovaSeq 6000,gen3,single_timepoint,,411.0,0.5,abstract_only,False,round2_unresolvable
PRJNA1517268,uncertain,unsure_adjudicated,0.4,,"[{""source"": ""sample.attr.host"", ""quote"": ""host: not collected""}, {""source"": ""sample.attr.isolation_source"", ""quote"": ""isolation_source: not collected""}, {""source"": ""study.description"", ""quote"": ""raw metagenomic data from fecal samples""}]",claude-fable-5-1,session_model_review_round2,"human-review round 2 (evidence_limited_to=biosample): UNRESOLVABLE: host and age. 142 DNBSEQ-T7 faecal metagenomes from Guizhou whose NCBI BioSamples record host and isolation_source as 'not collected'; taxon is 'feces metagenome' with no host taxid, and there is no publication, so not even the species is established.",,stool,triage_verdict,True,,Feces Raw sequence reads,142,142,2026-08-29,False,False,,False,growth_frame_free_sweep_2026-09-24,human_review,True,R0,R0,R0,R0,R0,R0,COH2365,singleton study PRJNA1517268,,0,0,,,,1.0,DNBSEQ-T7,mgi,single_timepoint,,349.0,0.5,abstract_only,False,round2_unresolvable
PRJEB40383,uncertain,unsure_adjudicated,0.45,,"[{""source"": ""study.description"", ""quote"": ""Human and animal stool and environmental samples""}, {""source"": ""run.library_strategy"", ""quote"": ""{\""WGS\"": 1778}""}, {""source"": ""study.description"", ""quote"": ""longitudinally collected from 400 households""}]",claude-opus-5,opus_adjudication,frame-free sweep ambiguous human/animal remnant (523 → 38 after filters),,,triage_verdict,,,Drivers_of_antimicrobial_resistance_in_Uganda_and_Malawi_3,1778,1778,2022-12-20,False,False,,False,growth_frame_free_ambiguous_2026-09-24,human_review,True,R0,R0,R0,R0,R0,R0,COH2366,singleton study PRJEB40383,,0,0,,3.4043862039999997,75.5,1.0,Illumina HiSeq 4000,gen2,single_timepoint,Malawi,306.0,0.5,abstract_only,False,growth_uncertain_archive_only
PRJNA1010893,uncertain,unsure_adjudicated,0.55,,"[{""source"": ""study.description"", ""quote"": ""infant gut microbiome samples collected at 1 and 6 months""}, {""source"": ""sample.title"", ""quote"": ""Non-tumor DNA/RNA sample from MILK of a human female""}, {""source"": ""run.library_strategy"", ""quote"": ""\""RNA-Seq\"": 344, \""WGS\"": 251""}]",claude-opus-5,opus_adjudication,discovery=biosample_attribute_sweep; evidence=text:Infant (n=50),0.0,,triage_verdict,,,MILK-Omics: Systems Biology of Human Milk and its Links to Maternal and Infant Health,346,595,2023-12-17,True,True,,False,growth_biosample_attribute_sweep_2026-09-24,human_review,False,,,,,,,,,MILK,346,0,,,,,,,,,,,,,growth_uncertain_archive_only
PRJEB62678,uncertain,unsure_adjudicated,0.45,,"[{""source"": ""study.description"", ""quote"": ""three times postpartum: after 6 weeks, 6 months and 1 year""}, {""source"": ""sample.attr.environmental_medium"", ""quote"": ""Feces""}, {""source"": ""study.title"", ""quote"": ""Cognition in pregnancy""}]",claude-opus-5,opus_adjudication,"discovery=cohort_name_crosswalk; evidence=cohort name 'BASIC' (birthcohorts.net: Biology, Affect, Stress, Imaging and Cognition, Sweden; EPMC review mention) matched ENA study_title 'BASIC: Bi",,,triage_verdict,,,"BASIC: Biology, Affect, Stress, Imaging and Cognition in pregnancy",926,1004,2024-08-29,False,False,,False,growth_cohort_name_crosswalk_2026-09-24,human_review,False,,,,,,,,,BASIC,0,0,,,,,,,,,,,,,growth_uncertain_archive_only
PRJNA1434019,uncertain,unsure_adjudicated,0.4,,"[{""source"": ""study.title"", ""quote"": ""FMT study Bern""}, {""source"": ""run.library_strategy"", ""quote"": ""WGS""}, {""source"": ""run.library_source"", ""quote"": ""METAGENOMIC""}]",claude-opus-5,opus_adjudication,"discovery=cohort_name_crosswalk; evidence=token 'Bern' (place name from birthcohorts.net BILD cohort) matched study_title 'FMT study Bern'; blank tax_id, METAGENOMIC WGS 65 runs — place-name m",,,triage_verdict,,,FMT study Bern,65,65,2026-07-11,False,False,,False,growth_cohort_name_crosswalk_2026-09-24,human_review,False,,,,,,,,,Bern,0,0,,,,,,,,,,,,,growth_uncertain_archive_only
PRJEB7331,uncertain,unsure_adjudicated,0.45,,"[{""source"": ""sample.attr.isolation_source"", ""quote"": ""faeces""}, {""source"": ""study.title"", ""quote"": ""metagenomic analysis of human gut microbiome""}, {""source"": ""run.library_strategy"", ""quote"": ""WGA""}]",claude-opus-5,opus_adjudication,discovery=reanalysis_raw_link; evidence=MGnify MGYS00000412 (root:Host-associated:Human:Digestive system:Large intestine:Fecal) bioproject; infant terms: none,,,triage_verdict,,,metagenomic analysis of human gut microbiome,24,24,2016-09-19,False,False,,False,growth_reanalysis_raw_link_2026-09-24,human_review,False,,,,,,,,,,0,0,,,,,,,,,,,,,growth_uncertain_archive_only
