cohort_id,cohort_name,n_studies,n_papers,study_accessions,paper_ids,index_publication_pmid,countries,first_public_min,n_samples_total,unique_infants_est,unique_infants_outcome,body_sites,controlled_access,confidence,evidence,decision,cluster_id,paper_years,dropped_member_ids_not_in_dossier,unique_infants_est_prev,unique_infants_est_partial,unique_infants_est_source,included_study_accessions,n_included_studies
COH0077,van Tilburg Bernardes 2026 Canada,1,1,PRJNA1055141,42336834,42336834,Canada,2023-12-22,1,,sentinel_no_evidence,stool,False,0.9,"{""name"": null, ""index"": null, ""infants"": null}",confirm,CC0072,2026,,,,cohorts_v3:unresolved,PRJNA1055141,1
COH0078,Lee 2024 Taiwan,1,1,PRJNA1056831,39006502,39006502,Taiwan,2024-08-02,10,10.0,sentinel_no_evidence,stool,False,0.8,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Gut Bifidobacterium longum is associated with better native liver survival"", ""in_dossier"": false}, ""infants"": null}",confirm,CC0073,2024,,10.0,,cohorts_v3:unresolved,PRJNA1056831,1
COH0079,Shi 2024 China,1,1,PRJNA1065277,39268487,39268487,China,2024-04-28,68,68.0,sentinel_no_evidence,gut,False,0.75,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Delivery mode and maternal gestational diabetes are important factors"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0074,2024,,68.0,,cohorts_v3:unresolved,PRJNA1065277,1
COH0080,BRAINRISE,1,1,PRJNA1072081,40237336,40237336,Brazil,2024-02-23,961,525.0,predicted,stool,False,0.92,"{""name"": {""source"": ""study.title"", ""quote"": ""the BRAINRISE Initiative"", ""in_dossier"": true}, ""index"": {""source"": ""paper.abstract"", ""quote"": ""applied whole metagenomic sequencing to assess the gut microbiome assembly"", ""in_dossier"": true}, ""infants"": {""source"": ""paper.abstract"", ""quote"": ""gut microbiome assembly in 525 Bra"", ""in_dossier"": true}}",confirm,CC0075,2025,,525.0,,cohorts_v3:unresolved,PRJNA1072081,1
COH0081,Leech 2024 Australia,1,1,PRJNA1076911,38995243,38995243,Australia,2024-02-24,50,50.0,sentinel_no_evidence,gut,False,0.85,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Delivery mode is a larger determinant of infant gut microbiome composition"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0076,2024,,50.0,,cohorts_v3:unresolved,PRJNA1076911,1
COH0082,Trosvik 2024 Norway,1,1,PRJNA1085219,39134593,39134593,Norway,2024-04-09,149,116.0,sentinel_no_evidence,gut,False,0.85,"{""name"": {""source"": ""study.title"", ""quote"": ""Antibiotic resistance gene dynamics in the commensal infant gut microbiome"", ""in_dossier"": true}, ""index"": {""source"": ""paper.abstract"", ""quote"": ""Colonization of the infant gut is an important developmental process"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0077,2024,,,,subject_resolution:all_members,PRJNA1085219,1
COH0083,Ojeda 2024 USA,1,1,PRJNA1095378,39373498,39373498,USA,2024-04-03,60,,sentinel_no_evidence,stool,False,0.9,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""antibiotic resistance in preterm neonates under early antibiotic use"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0078,2024,,,,cohorts_v3:unresolved,PRJNA1095378,1
COH0084,Seki 2024 Austria,1,1,PRJNA1112760,39679616,39679616,Austria,2026-06-25,64,32.0,sentinel_no_evidence,gut,False,0.8,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Gut microbiota genome features associated with brain injury"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0079,2024,,64.0,,subject_resolution:all_members,PRJNA1112760,1
COH0085,MISAME-III,1,1,PRJNA1113165,40102379,40102379,Burkina Faso,2024-05-24,736,,sentinel_no_evidence,gut,False,0.85,"{""name"": {""source"": ""paper.abstract"", ""quote"": ""MISAME-III randomized controlled trial"", ""in_dossier"": true}, ""index"": {""source"": ""paper.title"", ""quote"": ""reshapes the maternal gut microbiome and enhances carbohydrate metabolism in infants"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0080,2025,,,,cohorts_v3:unresolved,PRJNA1113165,1
COH0086,Vallès 2024 United Arab Emirates,1,1,PRJNA1130109,39081889,39081889,United Arab Emirates,2024-07-05,203,,sentinel_no_evidence,stool,False,0.85,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""infants' gut microbiome: setting the stage"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0081,2024,,,,cohorts_v3:unresolved,PRJNA1130109,1
COH0087,Nadimpalli 2025 Peru,1,1,PRJNA1138246,40755247,40755247,Peru,2025-07-16,298,,sentinel_no_evidence,gut,False,0.85,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""gut colonization with extended-spectrum \u03b2 lactamase-producing Enterobacterales"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0082,2025,,,,cohorts_v3:unresolved,PRJNA1138246,1
COH0088,Ricci 2026 Italy,1,1,PRJNA1140720,41565819,41565819,Italy,2024-10-11,1013,43.0,sentinel_no_evidence,stool,False,0.85,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Baby-to-baby strain transmission shapes the developing gut microbiome"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0083,2026,,,,subject_resolution:all_members,PRJNA1140720,1
COH0089,Byrne 2024 South Africa,1,1,PRJNA1143669,39707483,39707483,South Africa,2024-08-12,65,35.0,sentinel_no_evidence,stool,False,0.9,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Neonates exposed to HIV but uninfected exhibit an altered gut microbiota"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0084,2024,,,,subject_resolution:all_members,PRJNA1143669,1
COH0090,DeVeaux 2025 USA,1,1,PRJNA1148144,40128855,40128855,USA,2025-04-10,24,24.0,sentinel_no_evidence,stool,False,0.85,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Metagenomic signatures of extraintestinal bacterial infection in the febrile term infant"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0085,2025,,24.0,,subject_resolution:all_members,PRJNA1148144,1
COH0091,Lemons 2025 Belgium,1,1,PRJNA1160256,40941064,40941064,Belgium,2025-04-27,21,15.0,sentinel_no_evidence,gut,False,0.55,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""The Effect of Sodium Benzoate on the Gut Microbiome"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0086,2025,,,,subject_resolution:all_members,PRJNA1160256,1
COH0092,Firrman 2024 Belgium,1,1,PRJNA1177813,39796584,39796584,Belgium,2024-12-01,126,126.0,sentinel_no_evidence,gut,False,0.85,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Bifidogenic Effect of 2'Fucosyllactose Is Driven by Age-Specific Bifidobacterium"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0087,2024,,126.0,,cohorts_v3:unresolved,PRJNA1177813,1
COH0093,Kiu 2025 United Kingdom,1,1,PRJNA1191223,40813371,40813371,United Kingdom,2025-09-21,92,55.0,sentinel_no_evidence,gut,False,0.85,"{""name"": null, ""index"": {""source"": ""paper.abstract"", ""quote"": ""We also assessed ex vivo horizontal gene transfer"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0088,2025,,,,subject_resolution:all_members,PRJNA1191223,1
COH0094,Meiirmanova 2025 Kazakhstan,1,1,PRJNA1217583,40299456,40299456,Kazakhstan,2025-05-15,34,,sentinel_no_evidence,stool,False,0.75,"{""name"": null, ""index"": null, ""infants"": null}",confirm,CC0089,2025,,,,cohorts_v3:unresolved,PRJNA1217583,1
COH0095,Nunez 2026 USA,1,1,PRJNA1222487,42293161,42293161,USA,2026-05-13,95,95.0,predicted,gut,False,0.8,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Age-specific early-life gut microbiome associations with eczema and food"", ""in_dossier"": true}, ""infants"": {""source"": ""paper.abstract"", ""quote"": ""shotgun metagenomic data from 97 c"", ""in_dossier"": true}}",confirm,CC0090,2026,,97.0,,subject_resolution:all_members,PRJNA1222487,1
COH0096,Liu 2026 China,1,1,PRJNA1231247,42746483,42746483,China,2025-03-09,40,40.0,sentinel_no_evidence,gut,False,0.85,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""gut microbiota dysbiosis: evidence from metagenomics"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0091,2026,,40.0,,cohorts_v3:unresolved,PRJNA1231247,1
COH0097,Corona-Cervantes 2026 Mexico,1,1,PRJNA1260751,41536238,41536238,Mexico,2025-05-11,26,,sentinel_no_evidence,gut,False,0.85,"{""name"": null, ""index"": {""source"": ""paper.abstract"", ""quote"": ""We conducted a longitudinal"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0092,2026,,,,cohorts_v3:unresolved,PRJNA1260751,1
COH0098,Ng 2026 Singapore,1,1,PRJNA1273620,41998770,41998770,Singapore,2025-06-23,325,,sentinel_no_evidence,stool,False,0.85,"{""name"": null, ""index"": {""source"": ""paper.abstract"", ""quote"": ""Emerging evidence suggests that maternal-prenatal gut microbiome disturbances shape offspring allergic outcomes"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0093,2026,,,,cohorts_v3:unresolved,PRJNA1273620,1
COH0099,Perdue 2026 USA,1,1,PRJNA1290379,41593042,41593042,USA,2026-02-22,261,,sentinel_no_evidence,stool,False,0.9,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""enteric DNA virome differs in infants at risk"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0094,2026,,,,cohorts_v3:unresolved,PRJNA1290379,1
COH0100,Devarajalu 2025 India,1,1,PRJNA1304237,41017911,41017911,India,2025-08-12,22,,sentinel_no_evidence,gut,False,0.85,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Characterization of gut microbiota signatures in Indian preterm infants"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0095,2025,,,,cohorts_v3:unresolved,PRJNA1304237,1
COH0101,Bargheet 2026 Tanzania,1,1,PRJNA1305341,42013844,42013844,Tanzania,2026-03-22,250,152.0,sentinel_no_evidence,gut,False,0.7,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Metabolic reprogramming of the infant gut by bifidobacteria-based probiotics"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0096,2026,,,,subject_resolution:all_members,PRJNA1305341,1
COH0102,Moriel 2025 Israel,1,1,PRJNA1312123,41203618,41203618,Israel,2025-10-23,272,,sentinel_no_evidence,gut|gastric,False,0.85,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Development of the preterm infant gut and gastric residuals microbiome"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0097,2025,,,,cohorts_v3:unresolved,PRJNA1312123,1
COH0103,Doan 2026 Niger,1,1,PRJNA1337442,41845058,41845058,Niger,2026-04-02,450,,sentinel_no_evidence,stool|nasopharynx,False,0.85,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Mass azithromycin distribution and antibiotic resistance in the gut"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0098,2026,,,,cohorts_v3:unresolved,PRJNA1337442,1
COH0104,Tian 2026 China,1,1,PRJNA1428929,42022809,42022809,China,2026-06-30,120,,sentinel_no_evidence,stool,False,0.85,"{""name"": null, ""index"": {""source"": ""paper.abstract"", ""quote"": ""gut microbiome, developing in parallel with the brain"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0099,2026,,,,cohorts_v3:unresolved,PRJNA1428929,1
COH0105,Parkin 2026 Australia,1,1,PRJNA1452547,42129350,42129350,Australia,2026-04-15,299,173.0,sentinel_no_evidence,gut,False,0.9,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Chlorinated drinking water exposure enriches antimicrobial resistance pathways"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0100,2026,,299.0,,subject_resolution:all_members,PRJNA1452547,1
COH0107,Brown 2013 USA,1,1,PRJNA215102,24451181,24451181,USA,2013-12-07,1,1.0,predicted,gut,False,0.8,"{""name"": {""source"": ""study.title"", ""quote"": ""Premature infant gut Metagenome"", ""in_dossier"": true}, ""index"": {""source"": ""paper.abstract"", ""quote"": ""premature infant gut has low individual but high inter-individual microbial diversity"", ""in_dossier"": true}, ""infants"": {""source"": ""study.title"", ""quote"": ""Premature infant gut Metagenome"", ""in_dossier"": true}}",confirm,CC0102,2013,,1.0,,cohorts_v3:unresolved,PRJNA215102,1
COH0108,Moore 2013 USA,1,1,PRJNA215106,24236055,24236055,USA,2014-04-15,22,22.0,sentinel_no_evidence,gut,False,0.8,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Pediatric fecal microbiota harbor diverse and novel antibiotic resistance genes"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0103,2013,,,,subject_resolution:all_members,PRJNA215106,1
COH0109,Oh 2017 Singapore,1,1,PRJNA272371,29049378,29049378,Singapore,2015-09-15,12,12.0,sentinel_no_evidence,stool,False,0.85,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""gut microbiota of infants with and without eczema"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0105,2017,,12.0,,cohorts_v3:unresolved,PRJNA272371,1
COH0110,Majta 2019 Finland,1,1,PRJNA290380,30894435,30894435,Estonia|Finland|Russia,2016-10-07,785,212.0,sentinel_no_evidence,gut,False,0.8,"{""name"": null, ""index"": null, ""infants"": null}",confirm,CC0106,2019,,,,subject_resolution:all_members,PRJNA290380,1
COH0111,Guo 2016 China,1,1,PRJNA312041,27226242,27226242,China,2017-10-05,1,,sentinel_no_evidence,stool,False,0.9,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""storage on the microbial community in infant fecal samples"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0108,2016,,,,cohorts_v3:unresolved,PRJNA312041,1
COH0112,Olm 2017 USA,1,1,PRJNA327106,28073918,28073918,USA,2016-09-02,45,,sentinel_no_evidence,gut|skin|oral,False,0.85,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Identical bacterial populations colonize premature infant gut, skin, and oral"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0109,2017,,,,cohorts_v3:unresolved,PRJNA327106,1
COH0113,Asnicar 2017 Italy,1,1,PRJNA339914,28144631,28144631,Italy,2016-10-01,24,,sentinel_no_evidence,stool,False,0.85,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Studying Vertical Microbiome Transmission from Mothers to Infants"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0110,2017,,,,cohorts_v3:unresolved,PRJNA339914,1
COH0114,Wampach 2018 Luxembourg,1,1,PRJNA379120,30504906,30504906,Luxembourg,2018-11-10,65,53.0,sentinel_no_evidence,stool,False,0.9,"{""name"": null, ""index"": {""source"": ""paper.abstract"", ""quote"": ""we perform metagenomic analysis of earliest gut microbial community structures"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0111,2018,,,,subject_resolution:all_members,PRJNA379120,1
COH0115,Pärnänen 2018 Finland,1,1,PRJNA384716,30250208,30250208,Finland,2018-05-02,96,,sentinel_no_evidence,stool|milk,False,0.85,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Maternal gut and breast milk microbiota affect infant gut antibiotic resistome"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0112,2018,,,,cohorts_v3:unresolved,PRJNA384716,1
COH0116,McCann 2018 Ireland,1,1,PRJNA385126,29761040,29761040,Ireland,2018-04-14,40,40.0,sentinel_no_evidence,stool,False,0.9,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Viromes of one year old infants reveal"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0113,2018,,,,subject_resolution:all_members,PRJNA385126,1
COH0117,NIH Y4 Cohort,1,1,PRJNA396794,29359195,29359195,USA,2017-11-09,305,58.0,sentinel_no_evidence,gut,False,0.9,"{""name"": {""source"": ""study.title"", ""quote"": ""preterm infant gut metagenomes (NIH Y4 Cohort)"", ""in_dossier"": true}, ""index"": {""source"": ""paper.title"", ""quote"": ""Influential Antibiotic Resistance Genes in the Infant Gut Microbiome"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0114,2018,,305.0,,subject_resolution:all_members,PRJNA396794,1
COH0118,TEDDY,1,1,PRJNA400115,35729161,35729161,,2018-09-01,12266,888.0,sentinel_no_evidence,gut,True,0.92,"{""name"": {""source"": ""study.title"", ""quote"": ""TEDDY Microbiome"", ""in_dossier"": true}, ""index"": {""source"": ""paper.title"", ""quote"": ""metagenome-assembled genomes in infant gut microbiomes"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0115,2022,,,,subject_resolution:all_members,PRJNA400115,1
COH0119,Milani 2018 Italy,1,1,PRJNA422569,30126456,30126456,Italy,2018-10-28,31,,sentinel_no_evidence,,False,0.75,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Tracing mother-infant transmission of bacteriophages by means of"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0116,2018,,,,cohorts_v3:unresolved,PRJNA422569,1
COH0120,Taft 2018 Bangladesh,1,1,PRJNA436562,30258040,30258040,Bangladesh,2018-03-03,46,46.0,sentinel_no_evidence,gut,False,0.85,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Bifidobacterial Dominance of the Gut in Early Life"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0117,2018,,,,subject_resolution:all_members,PRJNA436562,1
COH0121,Lamichhane 2022,1,1,PRJNA475246,35685890,35685890,,2018-06-09,286,43.0,sentinel_no_evidence,stool,False,0.85,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Impact of Extensively Hydrolyzed Infant Formula on Circulating Lipids"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0118,2022,,,,subject_resolution:all_members,PRJNA475246,1
COH0122,Dhakal 2019 USA,1,1,PRJNA484151,31379808,31379808,USA,2018-08-04,10,10.0,sentinel_no_evidence,stool,False,0.85,"{""name"": {""source"": ""study.title"", ""quote"": ""Rural and Urban infant''s fecal microbiota study"", ""in_dossier"": true}, ""index"": {""source"": ""paper.title"", ""quote"": ""Amish (Rural) vs. non-Amish (Urban) Infant Fecal Microbiotas"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0119,2019,,10.0,,cohorts_v3:unresolved,PRJNA484151,1
COH0123,Pasolli 2019 Madagascar,1,1,PRJNA485056,30661755,,Madagascar,2018-08-10,112,112.0,sentinel_no_evidence,stool,False,0.35,"{""name"": null, ""index"": null, ""infants"": null}",confirm,CC0120,2019,,,,subject_resolution:all_members,PRJNA485056,1
COH0124,Pärnänen 2022 USA,1,1,PRJNA532310,34677583,34677583,USA,2020-04-21,46,46.0,sentinel_no_evidence,stool,False,0.8,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Early-life formula feeding is associated with infant gut microbiota alterations"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0122,2022,,,,subject_resolution:all_members,PRJNA532310,1
COH0125,Di Guglielmo 2022 USA,1,1,PRJNA542703,35310842,35310842,USA,2020-01-23,30,30.0,sentinel_no_evidence,gut,False,0.8,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Impact of Early Feeding: Metagenomics Analysis of the Infant Gut Microbiome"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0123,2022,,30.0,,subject_resolution:all_members,PRJNA542703,1
COH0126,D'Souza 2020 South Africa,1,1,PRJNA549787,31832638,31832638,South Africa,2019-11-01,165,71.0,sentinel_no_evidence,stool,False,0.85,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Cotrimoxazole Prophylaxis Increases Resistance Gene Prevalence and \u03b1-Diversity but Decreases"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0124,2020,,,,subject_resolution:all_members,PRJNA549787,1
COH0127,Reyman 2019 Netherlands,1,1,PRJNA555020,31676793,31676793,Netherlands,2019-09-14,20,20.0,sentinel_no_evidence,gut,False,0.8,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Impact of delivery mode-associated gut microbiota dynamics on health"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0125,2019,,20.0,,cohorts_v3:unresolved,PRJNA555020,1
COH0128,Bittinger 2020,1,1,PRJNA557731,32284564,32284564,missing,2019-08-02,191,103.0,sentinel_no_evidence,stool,False,0.85,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Bacterial colonization reprograms the neonatal gut metabolome"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0126,2020,,,,subject_resolution:all_members,PRJNA557731,1
COH0130,COSMIC2,1,1,PRJNA595749,36717704,36717704,Luxembourg,2019-12-16,753,122.0,sentinel_no_evidence,stool,False,0.9,"{""name"": {""source"": ""study.title"", ""quote"": ""COSMIC2 - Persistence of birth mode-dependent effects"", ""in_dossier"": true}, ""index"": {""source"": ""paper.title"", ""quote"": ""Persistence of birth mode-dependent effects on gut microbiome composition"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0128,2021,,,,subject_resolution:all_members,PRJNA595749,1
COH0131,Uzan-Yulzari 2021 Finland,1,1,PRJNA606271,33500411,33500411,Finland,2020-09-18,20,20.0,sentinel_no_evidence,stool,False,0.85,"{""name"": null, ""index"": {""source"": ""paper.abstract"", ""quote"": ""investigate the long-term impact of antibiotic treatment in the neonatal period"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0129,2021,,20.0,,cohorts_v3:unresolved,PRJNA606271,1
COH0132,Casaburi 2021 USA,1,1,PRJNA633576,33479326,33479326,USA,2021-03-01,227,227.0,sentinel_no_evidence,gut,False,0.85,"{""name"": null, ""index"": null, ""infants"": null}",confirm,CC0130,2021,,,,subject_resolution:all_members,PRJNA633576,1
COH0133,Taft 2015 USA,1,1,PRJNA63661,26110908,26110908,USA|USA;missing|missing|missing;USA,2011-08-02,667,503.0,sentinel_no_evidence,gut,False,0.8,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Center Variation in Intestinal Microbiota Prior to Late-Onset Sepsis in Preterm Infants"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0131,2015,,,,subject_resolution:all_members,PRJNA63661,1
COH0134,Tan 2020 Bangladesh,1,1,PRJNA644725,32958861,32958861,,2020-07-10,150,30.0,predicted,stool,False,0.92,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Metagenomic sequencing of stool samples in Bangladeshi infants"", ""in_dossier"": true}, ""infants"": {""source"": ""paper.abstract"", ""quote"": ""3 serially collected stool samples from 30 Bangladeshi infants"", ""in_dossier"": true}}",confirm,CC0132,2020,,30.0,,cohorts_v3:unresolved,PRJNA644725,1
COH0135,DIAMOND,1,1,PRJNA648487,33732655,33732655,New Zealand,2020-07-26,94,227.0,predicted,stool,False,0.85,"{""name"": {""source"": ""study.title"", ""quote"": ""the DIAMOND trial - Shotgun Metagenomic data"", ""in_dossier"": true}, ""index"": {""source"": ""paper.title"", ""quote"": ""Factors Associated With the Microbiome in Moderate-Late Preterm Babies"", ""in_dossier"": true}, ""infants"": {""source"": ""paper.abstract"", ""quote"": ""227 moderate-late preterm (MLPT) babies enrolled in a randomized"", ""in_dossier"": true}}",confirm,CC0133,2021,,227.0,,cohorts_v3:unresolved,PRJNA648487,1
COH0136,Wang 2022 China,1,1,PRJNA695070,38818221,38818221,China,2021-04-01,572,,sentinel_no_evidence,gut,False,0.8,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Maternal and neonatal viromes indicate the risk of offspring's"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0134,2022,,,,cohorts_v3:unresolved,PRJNA695070,1
COH0137,Wilson 2021 New Zealand,1,1,PRJNA701480,34186487,34186487,New Zealand,2021-06-16,116,72.0,sentinel_no_evidence,gut,False,0.88,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Oral administration of maternal vaginal microbes at birth"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0135,2021,,,,subject_resolution:all_members,PRJNA701480,1
COH0138,Thänert 2021 USA,1,1,PRJNA701982,34264786,34264786,USA,2021-07-28,67,,sentinel_no_evidence,stool,False,0.85,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Antibiotic-driven intestinal dysbiosis in pediatric short bowel syndrome"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0136,2021,,,,cohorts_v3:unresolved,PRJNA701982,1
COH0139,NiPPeR,1,1,PRJNA707065,35075183,35075183,New Zealand|United Kingdom,2022-01-02,20,20.0,sentinel_no_evidence,stool,False,0.9,"{""name"": {""source"": ""study.title"", ""quote"": ""NiPPeR Study - pilot microbiome investigation"", ""in_dossier"": true}, ""index"": {""source"": ""paper.title"", ""quote"": ""Transcription shifts in gut bacteria shared between mothers and their infants"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0137,2022,,20.0,,cohorts_v3:unresolved,PRJNA707065,1
COH0140,West 2021 USA,1,1,PRJNA717139,34154658,34154658,USA,2021-08-25,18,,sentinel_no_evidence,stool,False,0.85,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Genetic and behavioral adaptation of Candida parapsilosis to the microbiome"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0138,2021,,,,cohorts_v3:unresolved,PRJNA717139,1
COH0141,Lay 2021 Singapore,1,1,PRJNA726032,34172012,34172012,Singapore|Thailand,2022-06-20,40,40.0,predicted,gut,False,0.9,"{""name"": {""source"": ""study.title"", ""quote"": ""synbiotic intervention modulates meta-omics signatures of gut redox potential"", ""in_dossier"": true}, ""index"": {""source"": ""paper.abstract"", ""quote"": ""In a double-blind randomized controlled study, 153 infants born by elective C-section"", ""in_dossier"": true}, ""infants"": {""source"": ""paper.abstract"", ""quote"": ""153 infants received an infant formula supplemented with"", ""in_dossier"": false}}",confirm,CC0139,2021,,153.0,,subject_resolution:all_members,PRJNA726032,1
COH0142,Tarracchini 2021 France,1,1,PRJNA733860,34704805,34704805,France,2021-08-25,47,,sentinel_no_evidence,fecal,False,0.85,"{""name"": {""source"": ""study.title"", ""quote"": ""Preterm infant fecal metagenome"", ""in_dossier"": true}, ""index"": {""source"": ""paper.abstract"", ""quote"": ""role of the gut microbiota remains poorl"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0140,2021,,,,cohorts_v3:unresolved,PRJNA733860,1
COH0143,Kim 2022 USA-Mozambique,1,1,PRJNA747761,37938667,37938667,Mozambique|USA,2022-01-18,237,237.0,sentinel_no_evidence,stool,False,0.9,"{""name"": null, ""index"": {""source"": ""paper.title"", ""quote"": ""Higher pathogen load in children from Mozambique vs. USA"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0141,2022,,,,subject_resolution:all_members,PRJNA747761,1
COH0144,Hellmann 2021 USA,1,1,PRJNA748448,34523979,34523979,USA,2021-07-22,60,4.0,sentinel_no_evidence,skin|stool,False,0.9,"{""name"": null, ""index"": null, ""infants"": null}",confirm,CC0142,2021,,,,subject_resolution:all_members,PRJNA748448,1
COH0145,Hanachi 2022 Tunisia,1,1,PRJNA762668,35547149,35547149,Tunisia,2022-04-08,33,,sentinel_no_evidence,stool,False,0.9,"{""name"": {""source"": ""paper.title"", ""quote"": ""Longitudinal and Comparative Analysis of Gut Microbiota of Tunisian Newborns"", ""in_dossier"": true}, ""index"": {""source"": ""paper.title"", ""quote"": ""Longitudinal and Comparative Analysis of Gut Microbiota of Tunisian Newborns"", ""in_dossier"": true}, ""infants"": null}",confirm,CC0143,2022,,,,cohorts_v3:unresolved,PRJNA762668,1
